"title","instructor","guid","link","description","registration_url","registration_description","parkids","parknames","startdate","enddate","starttime","endtime","contact_phone","location","categories","coordinates","image","pubDate"
"It's My Park at Ewen Park",,"2,189,983","http://www.nycgovparks.org/events/2026/08/09/its-my-park-at-ewen-park","This It's My Park season, volunteer with Stewards of Ewen Park to do a general cleanup, weed, maintain recent plantings and prepare for fall plantings at Ewen Park. We look forward to cleaning up the park with you!",,,"X019","Ewen Park","08/09/2026","08/09/2026","2026-08-09 09:30:00","2026-08-09 12:00:00",,"Ewen Park Dog Run (in Ewen Park)","Volunteer | It's My Park","40.88228957552900000, -73.91001707315400000",,"2026-08-09 00:00:04"
"Strength & Cardio Circuit Training","Chelsie Reid","2,210,487","http://www.nycgovparks.org/events/2026/08/09/strength-cardio-circuit-training","This circuit training class combines bodyweight resistance training and conditioning to provide you with a dynamic full body workout. Whether you are a beginneror looking for a challenge; this class for all fitness levels and modifications are always provided. Come engage in exercises that target all muscle groups, get your heart pumping, and connect with people in your community!","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=8989a499-4c44-4d93-82d0-923adb48e6e0&occurrenceDate=20260809","Registration has begun and ends on 8/9/2026.","B245","St. John's Park","08/09/2026","08/09/2026","2026-08-09 09:30:00","2026-08-09 10:15:00",,"Dance Room (in St. John's Park)","Fitness | Shape Up NYC | Recreation Center Programming | Exercise Classes","40.67350006000000000, -73.93479919000000000",,"2026-08-09 00:00:04"
"Urban Farm Volunteers",,"2,114,781","http://www.nycgovparks.org/events/2026/08/09/urban-farm-volunteers","Volunteer with our team to manage our one-acre Urban Farm!Whether you are new to our farm or have been a tried-and-true weekly volunteer, come and join us! Our farmers have a lot of farm chores and composting to do weekly and you can help us take care of this important urban educational agricultural resource.On Sundays we not only do farm chores, but we are joined by the NYC Compost Project with Big Reuse who help us manage our 5-bin compost system to create much needed organic matter for our planting beds!Individuals under the age of 16 must be accompanied by an adult who volunteers with them. Individuals ages 16 &amp; 17 can volunteer if a parent or guardian has signed a waiver. Please find a downloadable waiver here: Waiver for unaccompanied 16 &amp; 17 year oldsThis volunteer event is for individuals from the community and not open to groups larger than 5 people. If you wish to bring more than 5 people, you must first contact us at volunteers@randallsisland.org.New volunteers must register for this event here.Location: Urban FarmFor inquiries about accessibility, to request accommodation, or for event information, please email publicprograms@randallsisland.org.","https://www.eventbrite.com/e/urban-farm-volunteers-tickets-1982885844940?aff=oddtdtcreator","Registration required for new volunteers.","M104","Randall's Island Park","08/09/2026","08/09/2026","2026-08-09 10:00:00","2026-08-09 13:00:00","2128601899","Urban Farm (in Randall's Island Park)","Education | Nature | Fitness | Volunteer | Food | STEM Classes | Gardening","40.78421389202300000, -73.92589855194100000","http://www.nycgovparks.org/common_images/events/699627fb04846.JPG","2026-08-09 00:00:04"
"It's My Park at McKinley Park",,"2,212,405","http://www.nycgovparks.org/events/2026/08/09/its-my-park-at-mckinley-park","This It's My Park season, volunteer with Parent-Child Relationship Association to beautify McKinley Park. We look forward to cleaning up the park with you!",,,"B060","McKinley Park","08/09/2026","08/09/2026","2026-08-09 10:00:00","2026-08-09 12:00:00",,"McKinley Park","Volunteer | It's My Park","40.62670135498000000, -74.01640319824200000",,"2026-08-09 00:00:04"
"It's My Park at Sunset Park",,"2,212,406","http://www.nycgovparks.org/events/2026/08/09/its-my-park-at-sunset-park","This It's My Park season, volunteer with Parent-Child Relationship Association to beautify Sunset Park. We look forward to cleaning up the park with you!",,,"B087","Sunset Park","08/09/2026","08/09/2026","2026-08-09 10:00:00","2026-08-09 12:00:00",,"Sunset Park Recreation Center (in Sunset Park)","Volunteer | It's My Park","40.64670181274400000, -74.00239562988300000",,"2026-08-09 00:00:04"
"LaBlast&#174; Fitness","Jeana LaDelia","2,216,634","http://www.nycgovparks.org/events/2026/08/09/lablast-fitness","This dance fitness program is based on ballroom dances, including those seen on Dancing with the Stars. This workout in disguise blends dance patterns, fitness, and music to create a low impact workout suitable for all levels.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=f381edc0-2459-4af8-b55e-0f35830f66fd&occurrenceDate=20260809","Registration has begun and ends on 8/9/2026.","B169","Coney Island Beach &amp; Boardwalk","08/09/2026","08/09/2026","2026-08-09 10:00:00","2026-08-09 10:45:00",,"Parachute Jump (in Coney Island Beach & Boardwalk)","Fitness | Shape Up NYC | Dance Classes | Exercise Classes","40.57292175293000000, -73.98439788818400000",,"2026-08-09 00:00:04"
"Trees Count at Northerleigh Park",,"2,216,877","http://www.nycgovparks.org/events/2026/08/09/trees-count-at-northerleigh-park","Volunteer with NYC Parks for Trees Count 2025! At each event you will receive a tote bag with all the materials needed to count trees. Returning volunteers will receive additional giveaway items such as shirts, books, and hip bags as supplies last. Next, we'll provide a 30-minute training session that includes the basics of tree identification and how to measure and assess each tree. Using our Tree Census app, you’ll split up into different zones within the park to start counting trees! After completing your first training event, you are welcome to continue counting trees on your own in smaller parks across the city. For your comfort and safety, please bring water and wear closed-toe shoes to this program.","https://www.nycgovparks.org/reg/trees-count/20226",,"R078","Northerleigh Park","08/09/2026","08/09/2026","2026-08-09 10:00:00","2026-08-09 12:00:00",,"Northerleigh Park - Eldridge Ave. entrance (in Northerleigh Park)","Nature | Volunteer","40.62324225506200000, -74.13415332373300000","http://www.nycgovparks.org/common_images/events/6a60e81280048.jpg","2026-08-09 00:00:04"
"Trees Count at Walter Gladwin Park",,"2,216,878","http://www.nycgovparks.org/events/2026/08/09/trees-count-at-walter-gladwin-park","Volunteer with NYC Parks for Trees Count 2025! At each event you will receive a tote bag with all the materials needed to count trees. Returning volunteers will receive additional giveaway items such as shirts, books, and hip bags as supplies last. Next, we'll provide a 30-minute training session that includes the basics of tree identification and how to measure and assess each tree. Using our Tree Census app, you’ll split up into different zones within the park to start counting trees! After completing your first training event, you are welcome to continue counting trees on your own in smaller parks across the city. For your comfort and safety, please bring water and wear closed-toe shoes to this program.","https://www.nycgovparks.org/reg/trees-count/20227",,"X010A","Walter Gladwin Park","08/09/2026","08/09/2026","2026-08-09 10:00:00","2026-08-09 12:00:00",,"Walter Gladwin Park","Education | Nature | Volunteer","40.84519958496100000, -73.89520263671900000","http://www.nycgovparks.org/common_images/events/6a60e8908c5e1.jpg","2026-08-09 00:00:04"
"It's My Park at Alice Austen Park",,"2,219,662","http://www.nycgovparks.org/events/2026/08/09/its-my-park-at-alice-austen-park","This It's My Park season, volunteer with Natural Resources Protective Association to do a beach cleanup at Alice Austen Park. We look forward to cleaning up the park with you!",,,"R117","Alice Austen Park","08/09/2026","08/09/2026","2026-08-09 10:00:00","2026-08-09 12:30:00",,"Alice Austen Park","Volunteer | It's My Park","40.61458360010000000, -74.06310826120000000",,"2026-08-09 00:00:04"
"It's My Park at Bushwick Inlet Park",,"2,219,663","http://www.nycgovparks.org/events/2026/08/09/its-my-park-at-bushwick-inlet-park","This It's My Park season, volunteer with North Brooklyn Parks Alliance to beautify Bushwick Inlet Park. We look forward to cleaning up the park with you!",,,"B529","Bushwick Inlet Park","08/09/2026","08/09/2026","2026-08-09 10:00:00","2026-08-09 12:00:00",,"Bushwick Inlet Park","Volunteer | It's My Park","40.72280120849600000, -73.96199798584000000",,"2026-08-09 00:00:04"
"Family Art Project: Monet&#8217;s Magnificent Pond",,"2,219,723","http://www.nycgovparks.org/events/2026/08/09/family-art-project-monets-magnificent-pond","Dive into the world of artist Claude Monet and his water lilies. Make a splash as you create your very own mixed-media paintings inspired by Wave Hill’s Aquatic Garden.&nbsp;Registration not required.&nbsp;Wave Hill House is wheelchair-accessible. There is an accessible, ground-level entrance at the front of the building with a power-assist door. The restroom on the ground level is all-gender and ADA-compliant. Additional ADA-compliant restrooms are available on the lower level, which can be accessed by elevator.",,,"X209","Wave Hill","08/09/2026","08/09/2026","2026-08-09 10:00:00","2026-08-09 13:00:00","7185493200","Wave Hill","Arts & Crafts | Education | Best for Kids | Workshops | Accessible Activities","40.89870071411133000, -73.91249847412110000","http://www.nycgovparks.org/common_images/events/6a717396dcdf5.jpg","2026-08-09 00:00:04"
"Upcycled Jars and Lids: A Collage and Decoupage Workshop",,"2,219,465","http://www.nycgovparks.org/events/2026/08/09/upcycled-jars-and-lids-a-collage-and-decoupage-workshop","Using upcycled and natural materials, create whimsical seasonal decor such as ornaments, refrigerated magnets, or decorative storage jars.Additional instructions for participants: If possible, please bring a clean glass jar with lid.&nbsp; You may wish to bring a photograph or other l decorative item from home to personalize your design.","https://www.eventbrite.com/e/upcycled-jars-and-lids-a-collage-and-decoupage-workshop-tickets-1993750033019?aff=oddtdtcreator&keep_tld=true",,"R129","Blood Root Valley","08/09/2026","08/09/2026","2026-08-09 10:30:00","2026-08-09 12:00:00","718-351-3450","Greenbelt Nature Center (in Blood Root Valley)","Arts & Crafts | Workshops","40.58840179443400000, -74.13909912109400000","http://www.nycgovparks.org/common_images/events/6a6cb97ccc173.png","2026-08-09 00:00:04"
"Summer on the Hudson: Over, Under, Through",,"2,137,104","http://www.nycgovparks.org/events/2026/08/09/summer-on-the-hudson-over-under-through","Coaches from The Movement Creative teach the basics of parkour during this 6-week program. Build your strength, coordination, and mobility with drills, partner exercise, and games. All ages!",,,"M353","Riverside Park South","08/09/2026","08/09/2026","2026-08-09 11:00:00","2026-08-09 12:00:00","2128703089","Parkour Park (in Riverside Park South)","Fitness | Exercise Classes","40.78008485451400000, -73.98849773407000000","http://www.nycgovparks.org/common_images/events/69d80ad1aaff0.jpg","2026-08-09 00:00:04"
"Saltwater Fishing",,"2,178,967","http://www.nycgovparks.org/events/2026/08/09/saltwater-fishing","Want to go fishing but don’t know how or where to start? Join our Urban Park Rangers for free lessons! Learn how to properly use a fishing rod. Our experienced Rangers teach the ethics of fishing and the ecology of our waterways. All equipment will be provided. Recommended for ages 8 and older.",,"Registration not required.","B385","WNYC Transmitter Park","08/09/2026","08/09/2026","2026-08-09 11:00:00","2026-08-09 12:30:00","(718) 421-2021","Entrance-West Street and Greenpoint Avenue (in WNYC Transmitter Park)","Urban Park Rangers | Fishing","40.72959161208100000, -73.96024191379500000",,"2026-08-09 00:00:04"
"Dog Days of Summer Hike",,"2,190,559","http://www.nycgovparks.org/events/2026/08/09/dog-days-of-summer-hike","Bring your pooch and beat the heat by hiking the trails under Van Cortlandt Park’s majestic canopy! On this dog-friendly hike, experience nature with your pup while learning about the importance of Parks rules and regs around our four-legged friends. All dogs and dog lovers welcomed.",,"Registration not required.","X092","Van Cortlandt Park","08/09/2026","08/09/2026","2026-08-09 11:00:00","2026-08-09 12:00:00","(718) 548-0912","Broadway and Mosholu Avenue (in Van Cortlandt Park)","Urban Park Rangers | Hiking","40.90435489754600000, -73.89631175826600000",,"2026-08-09 00:00:04"
"Buzzin' for Bugs Insect Exploration Walk",,"2,190,616","http://www.nycgovparks.org/events/2026/08/09/buzzin-for-bugs-insect-exploration-walk","Get ready to bug out with the Urban Park Rangers. Get up close and personal with the world of entomology as we rustle up some grubs. Bug nets and containers will be provided for the program but patrons are encouraged to bring their own nets as well. Help us to discover the rarest, biggest and smallest bugs we can find in Pelham Bay Park. Learn how to identify and catalog insects as a Citizen Scientist and find out what makes these little creatures so big in our hearts.&nbsp;",,"Registration not required.","X039","Pelham Bay Park","08/09/2026","08/09/2026","2026-08-09 11:00:00","2026-08-09 12:00:00","(718) 548-0912","Pelham Bay Nature Center (in Pelham Bay Park)","Urban Park Rangers","40.85166235434100000, -73.82469034195000000",,"2026-08-09 00:00:04"
"Prehistoric New York",,"2,193,056","http://www.nycgovparks.org/events/2026/08/09/prehistoric-new-york","Join the Urban Park Rangers to explore the living legacy of dinosaurs and other prehistoric animals hidden in plain sight. From hawks overhead to turtles basking on logs, discover how modern raptors and reptiles connect to prehistoric giants that once ruled the Earth. Learn how evolution shaped feathers, scales, claws and flight. New York City is still home to animals whose ancestors lived alongside dinosaurs millions of years ago.",,"Registration not required.","Q392","Idlewild Park","08/09/2026","08/09/2026","2026-08-09 11:00:00","2026-08-09 12:30:00","(718) 846-2731","Entrance - Springfield Lane and 149th Avenue (in Idlewild Park)","Education | Best for Kids | Urban Park Rangers","40.65798282110000000, -73.75994324680000000",,"2026-08-09 00:00:04"
"Chalk on the Wild Side",,"2,195,415","http://www.nycgovparks.org/events/2026/08/09/chalk-on-the-wild-side","Learn about the Urban Wildlife of Staten Island and be ready to get artistic! Rangers will discuss the food web, different biomes and where animals live. Patrons will be encouraged to utilize chalk to draw out an ideal ecosystem for various different animals. This program is good for young children and families.",,"Registration not required.","R072","Clawson Playground","08/09/2026","08/09/2026","2026-08-09 11:00:00","2026-08-09 12:30:00","(718) 967-3542","Play Area (in Clawson Playground)","Nature | Best for Kids | Urban Park Rangers | Wildlife","40.56068895048400000, -74.12393209166400000",,"2026-08-09 00:00:04"
"Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden",,"2,197,637","http://www.nycgovparks.org/events/2026/08/09/ongoing-outdoor-museum-exhibit-alices-terracotta-garden","Terra cotta sculpture garden featuring antique architectural ornaments from Tottenville's Atlantic Terra Cotta Company (west side lawn of Biddle House).NYC Parks and the Tottenville Historical Society invite you to visit a unique collection of terracotta artifacts that chronicle turn-of-the-twentieth-century architectural styles common in New York City and across the United States.",,"Outdoor, self-guided tour.","R006","Conference House Park","08/09/2026","08/09/2026","2026-08-09 11:00:00","2026-08-09 15:00:00",,"H.H. Biddle House (in Conference House Park)","Art | History | Tours | Waterfront | Walking","40.50554614753800000, -74.25419378280700000",,"2026-08-09 00:00:04"
"Zumba","Ashley Thompson","2,214,220","http://www.nycgovparks.org/events/2026/08/09/zumba","Zumba is a fusion of Latin, International and popular music dance themes creating a dynamic, exciting, effective fitness system! The routines feature aerobic, fitness interval training with a combination of fast and slow rhythms that tone and sculpt the body with easy to follow dance steps. Participants must sign in at the front desk and bring locks to lock up their bags. The center does not allow anyone to bring their bags to the dance room except: towel, water and phone.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=6b564b81-9d11-4b15-89c1-356a611a84c4&occurrenceDate=20260809","Registration has begun and ends on 8/9/2026.","X104","Williamsbridge Oval","08/09/2026","08/09/2026","2026-08-09 11:00:00","2026-08-09 12:00:00",,"Multi-Use Room (in Williamsbridge Oval)","Dance | Fitness | Shape Up NYC | Recreation Center Programming | Dance Classes | Exercise Classes","40.87673390700000000, -73.87859109203100000",,"2026-08-09 00:00:04"
"Harlem Garden Crawl",,"2,220,186","http://www.nycgovparks.org/events/2026/08/09/harlem-garden-crawl","Come to Walter Miller III Memorial Garden (La Casa Frela) to join a tour of nearby community gardens! The Harlem Garden Crawl will showcase the beauty and diversity of community gardens throughout Central Harlem. This is a perfect event for anyone who is interested in getting to know more about these unique green spaces in NYC and learn how to become immersed and involved in them.&nbsp;Scan the QR code on the flyer or visit here for participating gardens.This event will take place on Saturday, August 8th and Sunday, August 9th. Join the garden group for one or both days!",,,,,"08/09/2026","08/09/2026","2026-08-09 11:00:00","2026-08-09 15:00:00",,"Walter Miller III Memorial Garden (La Casa Frela)","Nature | Tours | Volunteer | Accessible Activities | Gardening","40.80300140380900000, -73.94550323486300000","http://www.nycgovparks.org/common_images/events/6a763fe039faf.jpeg","2026-08-09 00:00:04"
"It's My Park at Brust Park",,"2,207,350","http://www.nycgovparks.org/events/2026/08/09/its-my-park-at-brust-park","This It's My Park season, volunteer with Stewards of Brust Park to do a general cleanup at Brust Park. We look forward to cleaning up the park with you!",,,"X055","Brust Park","08/09/2026","08/09/2026","2026-08-09 12:00:00","2026-08-09 14:00:00",,"Brust Park","Volunteer | It's My Park","40.88990020751953000, -73.90360260009766000",,"2026-08-09 00:00:04"
